Palavra,Link,Instituicao
abençoar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01551-Aben%C3%A7oar.mp4,UFV
professor,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01433-Professor.mp4,UFV
greve,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/462-greve.mp4,UFV
figo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/figo.mp4,UFV
celular,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01127-celular.mp4,UFV
zumbi,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/zumbi.mp4,UFV
adjetivo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/adjetivo-1.mp4,UFV
acusar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01565-Acusar.mp4,UFV
olimpiadas,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/473-olimpiadas.mp4,UFV
algum,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1359-algum.mp4,UFV
marido,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/912-marido.mp4,UFV
suíça,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1274-su%C3%AD%C3%A7a.mp4,UFV
aprender,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01591-Aprender.mp4,UFV
arrastar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01593-Arrastar.mp4,UFV
algodão,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/algod%C3%A3o.mp4,UFV
algoritmo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/algoritmo.mp4,UFV
copiar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01624-Copiar.mp4,UFV
mulher,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/915-mulher.mp4,UFV
anão,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/an%C3%A3o.mp4,UFV
tudo bem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01453-Tudo-bem.mp4,UFV
abacaxi,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abacaxi.mp4,UFV
boina,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/847-boina.mp4,UFV
despertador,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/despertador.mp4,UFV
trem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01550-Trem.mp4,UFV
centopeia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/centopeia.mp4,UFV
analogia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/analogia.mp4,UFV
aquisição da linguagem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-da-linguagem.mp4,UFV
chicote,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/chicote.mp4,UFV
deitar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01633-Deitar.mp4,UFV
hora,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01518-Hora.mp4,UFV
arquiteto,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1402-arquiteto.mp4,UFV
mesa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01485-Mesa.mp4,UFV
alho,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alho.mp4,UFV
feio,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feio.mp4,UFV
vela,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/vela.mp4,UFV
por favor com licença,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01450-Por-favor-com-licen%C3%A7a.mp4,UFV
bandeira,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bandeira.mp4,UFV
escurecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1314-escurecer.mp4,UFV
gemeos,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/903-gemeos.mp4,UFV
mendigar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01699-mendigar.mp4,UFV
sol,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1331-sol.mp4,UFV
braço,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/833-bra%C3%A7o.mp4,UFV
social,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1366-social.mp4,UFV
crer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01628-Crer.mp4,UFV
senador,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01440-Senador.mp4,UFV
assustar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01596-Assustar.mp4,UFV
desenhar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01640-desenhar.mp4,UFV
prefeito,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01431-Prefeito.mp4,UFV
rins,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1176-rins.mp4,UFV
namorada,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/916-namorada.mp4,UFV
genro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/904-genro.mp4,UFV
batata,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/batata.mp4,UFV
acidentedecarro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1224-acidentedecarro.mp4,UFV
dolar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1185-dolar.mp4,UFV
não conhecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01707-n%C3%A3o-conhecer.mp4,UFV
balbucio,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/balbucio.mp4,UFV
fino,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/fino.mp4,UFV
azeitona,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/azeitona.mp4,UFV
coxa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01161-coxa.mp4,UFV
argentina,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01004-argentina.mp4,UFV
adotar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/888-adotar.mp4,UFV
tocantins,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1275-tocantins.mp4,UFV
batizar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01602-Batizar.mp4,UFV
rio,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1330-rio.mp4,UFV
utero,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/843-utero.mp4,UFV
solteiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/931-solteiro.mp4,UFV
adiar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01567-Adiar.mp4,UFV
demitir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01635-Demitir.mp4,UFV
ajudar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/709-ajudar.mp4,UFV
garagem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01476-Garagem.mp4,UFV
computador,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01128-computador.mp4,UFV
familia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/898-familia.mp4,UFV
sogro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/930-sogro.mp4,UFV
construcao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/687-construcao.mp4,UFV
namorar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01706-namorar.mp4,UFV
tomada,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01504-Tomada.mp4,UFV
experimentar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01667-experimentar.mp4,UFV
muro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01487-Muro.mp4,UFV
biscoito água e sal,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/biscoito-%C3%A1gua-e-sal.mp4,UFV
cuidar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01630-Cuidar.mp4,UFV
construir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01619-Construir.mp4,UFV
bermuda,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01791-bermuda.mp4,UFV
feijao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feijao.mp4,UFV
pessoa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1363-pessoa.mp4,UFV
bone,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/851-bone.mp4,UFV
dragao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dragao.mp4,UFV
relogio de parede,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01496-Relogio-de-parede.mp4,UFV
ilha,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1317-ilha.mp4,UFV
brigar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01605-Brigar.mp4,UFV
comemorar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01613-Comemorar.mp4,UFV
bacon,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/08/bacon.mp4,UFV
banheiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/683-banheiro.mp4,UFV
toalha de banho,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01503-Toalha-de-banho.mp4,UFV
homicidio,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1230-homicidio.mp4,UFV
estudar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01664-estudar.mp4,UFV
desobedecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01641-desobedecer.mp4,UFV
rosacor,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01798-rosacor.mp4,UFV
convite,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01130-convite.mp4,UFV
america central,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01000-america-central.mp4,UFV
cartao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/cartao.mp4,UFV
chuveiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01466-Chuveiro.mp4,UFV
tombo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/tombo.mp4,UFV
sete,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1349-sete.mp4,UFV
aparecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/aparecer.mp4,UFV
churrasco,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/churrasco.mp4,UFV
primo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/926-primo.mp4,UFV
melancia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/766-melancia.mp4,UFV
alofone,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/alofone.mp4,UFV
coisa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/coisa.mp4,UFV
barriga,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/823-barriga.mp4,UFV
mãe,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/911-m%C3%A3e.mp4,UFV
abstrato,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/abstrato.mp4,UFV
doce,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/doce.mp4,UFV
balde,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/08/balde.mp4,UFV
areia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1285-areia.mp4,UFV
ventilador,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01508-Ventilador.mp4,UFV
correio,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01131-correio.mp4,UFV
amor,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01587-Amor.mp4,UFV
avenida,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01007-avenida.mp4,UFV
nuvem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1326-nuvem.mp4,UFV
sobrinha,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/927-sobrinha.mp4,UFV
cereja,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cereja.mp4,UFV
irmão,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/907-irm%C3%A3o.mp4,UFV
ping pong,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00984-ping-pong.mp4,UFV
jovem,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/908-jovem.mp4,UFV
coxinha,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/coxinha.mp4,UFV
amendoim,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amendoim.mp4,UFV
acalmar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01555-Acalmar.mp4,UFV
bahia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01008-bahia.mp4,UFV
fritar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01675-fritar.mp4,UFV
politica,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01430-Politica.mp4,UFV
empregada doméstica,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01412-Empregada-Dom%C3%A9stica.mp4,UFV
travesseiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01505-Travesseiro.mp4,UFV
mala,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01794-mala.mp4,UFV
fortaleza,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01031-fortaleza.mp4,UFV
placa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01491-Placa.mp4,UFV
arroz,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/arroz.mp4,UFV
tempo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01534-Tempo.mp4,UFV
pascoa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/475-pascoa.mp4,UFV
saudade,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01451-Saudade.mp4,UFV
mudar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01705-mudar.mp4,UFV
figado,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/827-figado.mp4,UFV
mentir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01700-mentir.mp4,UFV
dinamite,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dinamite.mp4,UFV
ano,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01512-Ano.mp4,UFV
conhecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01617-Conhecer.mp4,UFV
vento,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1336-vento.mp4,UFV
elefante,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/elefante.mp4,UFV
calculadora,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/calculadora.mp4,UFV
