original,checked,lemma,path,dictionary,group,actor
65,65,65,['./datasets/spread_the_sign/videos/65.mp4'],SpreadTheSign,0,3
66,66,66,['./datasets/spread_the_sign/videos/66.mp4'],SpreadTheSign,0,3
67,67,67,['./datasets/spread_the_sign/videos/67.mp4'],SpreadTheSign,0,3
68,68,68,['./datasets/spread_the_sign/videos/68.mp4'],SpreadTheSign,0,3
69,69,69,['./datasets/spread_the_sign/videos/69.mp4'],SpreadTheSign,0,3
8,8,8,['./datasets/spread_the_sign/videos/8.mp4'],SpreadTheSign,0,3
8,8,8,['./datasets/youtube_v2/videos/Libras - 8 (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
80,80,80,['./datasets/youtube_v2/videos/Libras - 80 (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
80,80,80,['./datasets/spread_the_sign/videos/80.mp4'],SpreadTheSign,0,3
9,9,9,['./datasets/youtube_v2/videos/Libras - 9 (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
9,9,9,['./datasets/spread_the_sign/videos/9.mp4'],SpreadTheSign,0,3
^,^,^,['./datasets/youtube_v2/videos/Libras - ^ (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
a,a,a,['./datasets/youtube_v2/videos/Libras - A (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
a,a,a,['./datasets/acessibilidade_2/videos/a.wmv'],Acessibilidades2,0,1
a,a,a,['./datasets/acessibilidade_3/videos/aSm_Prog001.mp4'],Acessibilidades3,0,2
a disposicao,a disposição,a,['./datasets/usp/videos/a_disposicao.mp4'],USP,0,47
a sério,a sério,a,['./datasets/spread_the_sign/videos/a sério.mp4'],SpreadTheSign,0,3
a três dias,a três dias,a,['./datasets/youtube_v2/videos/Libras - A três dias (360p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,57
abafar,abafar,abafar,['./datasets/acessibilidade_3/videos/abafarSm_Prog001.mp4'],Acessibilidades3,0,2
abafar,abafar,abafar,['./datasets/acessibilidade_2/videos/abafar.wmv'],Acessibilidades2,0,1
abaixar,abaixar,abaixar,['datasets/ufsc/videos/E(abaixar).mp4'],UFSC,0,46
abaixar,abaixar,abaixar,['./datasets/ufsc_v2/videos/ABAIXAR.mp4'],UFSC_V2,0,42
abaixo,abaixo,abaixo,['./datasets/acessibilidade_2/videos/abaixo.wmv'],Acessibilidades2,0,1
abaixo,abaixo,abaixo,['./datasets/acessibilidade_3/videos/abaixoSm_Prog001.mp4'],Acessibilidades3,0,2
abaixo,abaixo,abaixo,['./datasets/spread_the_sign/videos/abaixo.mp4'],SpreadTheSign,1,9
abalo,abalo,abalo,['./datasets/spread_the_sign/videos/abalo.mp4'],SpreadTheSign,0,4
abandonar,abandonar,abandonar,['./datasets/acessibilidade_2/videos/abandonar2.wmv'],Acessibilidades2,0,1
abandonar,abandonar,abandonar,['./datasets/acessibilidade_2/videos/abandonar1.wmv'],Acessibilidades2,0,1
abandonar,abandonar,abandonar,['datasets/ufsc/videos/ABANDONAR.mp4'],UFSC,0,44
abandonar,abandonar,abandonar,['./datasets/acessibilidade_3/videos/abandonar1Sm_Prog001.mp4'],Acessibilidades3,0,2
abandonar,abandonar,abandonar,['./datasets/acessibilidade_3/videos/abandonar2Sm_Prog001.mp4'],Acessibilidades3,1,2
abandonar,abandonar,abandonar,['./datasets/ufsc_v2/videos/ABANDONAR.mp4'],UFSC_V2,0,42
abarrotado,abarrotado,abarrotar,['./datasets/acessibilidade_3/videos/abarrotadoSm_Prog001.mp4'],Acessibilidades3,0,2
abarrotado,abarrotado,abarrotar,['./datasets/acessibilidade_2/videos/abarrotado.wmv'],Acessibilidades2,0,1
abastado,abastado,abastar,['./datasets/acessibilidade_3/videos/abastadoSm_Prog001.mp4'],Acessibilidades3,0,2
abastado,abastado,abastar,['./datasets/acessibilidade_2/videos/abastado.wmv'],Acessibilidades2,0,1
abatido,abatido,abater,['./datasets/acessibilidade_3/videos/abatidoSm_Prog001.mp4'],Acessibilidades3,0,2
abatido,abatido,abater,['./datasets/acessibilidade_2/videos/abatido.wmv'],Acessibilidades2,0,1
abatimento,abatimento,abatimento,['./datasets/acessibilidade_2/videos/abatimento.wmv'],Acessibilidades2,0,1
abatimento,abatimento,abatimento,['./datasets/acessibilidade_3/videos/abatimentoSm_Prog001.mp4'],Acessibilidades3,0,2
abdicar,abdicar,abdicar,['./datasets/acessibilidade_3/videos/abdicarSm_Prog001.mp4'],Acessibilidades3,0,2
abdicar,abdicar,abdicar,['./datasets/acessibilidade_2/videos/abdicar.wmv'],Acessibilidades2,0,1
abdomen,abdômen,abdomen,['./datasets/acessibilidade_3/videos/abdomenSm_Prog001.mp4'],Acessibilidades3,0,2
abdomen,abdômen,abdomen,['./datasets/spread_the_sign/videos/abdomen.mp4'],SpreadTheSign,0,8
abdomen,abdômen,abdomen,['./datasets/acessibilidade_2/videos/abdomen.wmv'],Acessibilidades2,0,1
abençoar,abençoar,abençoar,['./datasets/ufsc_v2/videos/ABENÇOAR.mp4'],UFSC_V2,0,42
abençoar,abençoar,abençoar,['./datasets/youtube_v2/videos/Libras - Abençoar (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
abençoar,abençoar,abençoar,['./datasets/ufv/videos/01551-Abençoar.mp4'],UFV,0,48
abençoar,abençoar,abençoar,['datasets/ufsc/videos/ABEN%C3%87OAR.mp4'],UFSC,0,43
abertura,abertura,abertura,['./datasets/acessibilidade_3/videos/aberturaSm_Prog001.mp4'],Acessibilidades3,0,2
abertura,abertura,abertura,['./datasets/acessibilidade_2/videos/abertura.wmv'],Acessibilidades2,0,1
abismar,abismar,abismar,['./datasets/acessibilidade_2/videos/abismar.wmv'],Acessibilidades2,0,1
abismar,abismar,abismar,['./datasets/acessibilidade_3/videos/abismarSm_Prog001.mp4'],Acessibilidades3,0,2
abobrinha,abobrinha,abobrinhar,['./datasets/acessibilidade_3/videos/abobrinhaSm_Prog001.mp4'],Acessibilidades3,0,2
abobrinha,abobrinha,abobrinhar,['./datasets/youtube_v2/videos/Libras - Abobrinha (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
abobrinha,abobrinha,abobrinhar,['./datasets/acessibilidade_2/videos/abobrinha.wmv'],Acessibilidades2,0,1
abocanhar,abocanhar,abocanhar,['./datasets/acessibilidade_2/videos/abocanhar.wmv'],Acessibilidades2,0,1
abocanhar,abocanhar,abocanhar,['./datasets/acessibilidade_3/videos/abocanharSm_Prog001.mp4'],Acessibilidades3,0,2
abolicao,abolição,abolicao,['./datasets/acessibilidade_3/videos/abolicaoSm_Prog001.mp4'],Acessibilidades3,0,2
abolicao,abolição,abolicao,['./datasets/acessibilidade_2/videos/abolicao.wmv'],Acessibilidades2,0,1
abominar,abominar,abominar,['./datasets/spread_the_sign/videos/abominar.mp4'],SpreadTheSign,0,3
abonar,abonar,abonar,['./datasets/acessibilidade_3/videos/abonarSm_Prog001.mp4'],Acessibilidades3,0,2
abonar,abonar,abonar,['./datasets/acessibilidade_2/videos/abonar.wmv'],Acessibilidades2,0,1
abono,abono,abono,['./datasets/acessibilidade_2/videos/abono.wmv'],Acessibilidades2,0,1
abono,abono,abono,['./datasets/acessibilidade_3/videos/abonoSm_Prog001.mp4'],Acessibilidades3,0,2
abordagem,abordagem,abordagem,['datasets/ufsc/videos/ABORDAGEM%20.mp4'],UFSC,0,43
abordagem,abordagem,abordagem,['./datasets/ufsc_v2/videos/ABORDAGEM.mp4'],UFSC_V2,0,42
aborrecer,aborrecer,aborrecer,['./datasets/acessibilidade_3/videos/aborrecerSm_Prog001.mp4'],Acessibilidades3,0,2
aborrecer,aborrecer,aborrecer,['./datasets/acessibilidade_2/videos/aborrecer.wmv'],Acessibilidades2,0,1
aborrecido,aborrecido,aborrecir,['./datasets/acessibilidade_2/videos/aborrecido.wmv'],Acessibilidades2,0,1
aborrecido,aborrecido,aborrecir,['./datasets/spread_the_sign/videos/aborrecido.mp4'],SpreadTheSign,0,3
aborrecido,aborrecido,aborrecir,['./datasets/acessibilidade_3/videos/aborrecidoSm_Prog001.mp4'],Acessibilidades3,0,2
aborto,aborto,aborto,['./datasets/spread_the_sign/videos/aborto.mp4'],SpreadTheSign,0,3
abotoar,abotoar,abotoar,['./datasets/acessibilidade_3/videos/abotoarSm_Prog001.mp4'],Acessibilidades3,0,2
abotoar,abotoar,abotoar,['./datasets/acessibilidade_2/videos/abotoar.wmv'],Acessibilidades2,0,1
abracadabra,abracadabra,abracadabrar,['./datasets/acessibilidade_2/videos/abracadabra.wmv'],Acessibilidades2,0,1
abracadabra,abracadabra,abracadabrar,['./datasets/acessibilidade_3/videos/abracadabraSm_Prog001.mp4'],Acessibilidades3,0,2
abreviar,abreviar,abreviar,['./datasets/acessibilidade_2/videos/abreviar.wmv'],Acessibilidades2,0,1
abreviar,abreviar,abreviar,['./datasets/acessibilidade_3/videos/abreviarSm_Prog001.mp4'],Acessibilidades3,0,2
abridor,abridor,abridor,['./datasets/ufv/videos/abridor.mp4'],UFV,0,49
abridor de garrafas,abridor de garrafas,abridor,['./datasets/spread_the_sign/videos/abridor de garrafas.mp4'],SpreadTheSign,0,4
abridor de lata,abridor de lata,abridor,['./datasets/acessibilidade_2/videos/abridor de lata1.wmv'],Acessibilidades2,0,1
abridor de lata,abridor de lata,abridor,['./datasets/acessibilidade_3/videos/abridor_de_lata1Sm_Prog001.mp4'],Acessibilidades3,0,2
abridor de lata,abridor de lata,abridor,['./datasets/acessibilidade_3/videos/abridor_de_lata2Sm_Prog001.mp4'],Acessibilidades3,1,2
abridor de lata,abridor de lata,abridor,['./datasets/youtube_v2/videos/Libras - Abridor de Lata (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
abridor de lata,abridor de lata,abridor,['./datasets/acessibilidade_2/videos/abridor de lata2.wmv'],Acessibilidades2,1,1
abridor de ostras,abridor de ostras,abridor,['./datasets/spread_the_sign/videos/abridor de ostras.mp4'],SpreadTheSign,0,4
abrigar,abrigar,abrigar,['./datasets/acessibilidade_2/videos/abrigar.wmv'],Acessibilidades2,0,1
abrigar,abrigar,abrigar,['./datasets/acessibilidade_3/videos/abrigarSm_Prog001.mp4'],Acessibilidades3,0,2
abrigo,abrigo,abrigo,['./datasets/acessibilidade_2/videos/abrigo.wmv'],Acessibilidades2,0,1
abrigo,abrigo,abrigo,['./datasets/acessibilidade_3/videos/abrigoSm_Prog001.mp4'],Acessibilidades3,0,2
abrir,abrir,abrir,['./datasets/acessibilidade_2/videos/abrir3.wmv'],Acessibilidades2,3,1
abrir,abrir,abrir,['./datasets/youtube_v2/videos/Libras - Abrir (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,3,41
abrir,abrir,abrir,['./datasets/acessibilidade_3/videos/abrir1Sm_Prog001.mp4'],Acessibilidades3,0,2
abrir,abrir,abrir,['./datasets/ufv/videos/01553-Abrir.mp4'],UFV,3,48
abrir,abrir,abrir,['./datasets/acessibilidade_3/videos/abrir3Sm_Prog001.mp4'],Acessibilidades3,3,2
abrir,abrir,abrir,['./datasets/acessibilidade_3/videos/abrir5Sm_Prog001.mp4'],Acessibilidades3,4,2
abrir,abrir,abrir,['./datasets/acessibilidade_3/videos/abrir2Sm_Prog001.mp4'],Acessibilidades3,2,2
abrir,abrir,abrir,['./datasets/acessibilidade_3/videos/abrir4Sm_Prog001.mp4'],Acessibilidades3,1,2
abrir,abrir,abrir,['./datasets/acessibilidade_2/videos/abrir1.wmv'],Acessibilidades2,0,1
abrir,abrir,abrir,['./datasets/acessibilidade_2/videos/abrir2.wmv'],Acessibilidades2,2,1
abrir,abrir,abrir,['./datasets/ufsc_v2/videos/ABRIR.mp4'],UFSC_V2,5,42
abrir,abrir,abrir,['./datasets/acessibilidade_2/videos/abrir5.wmv'],Acessibilidades2,4,1
abrir,abrir,abrir,['./datasets/acessibilidade_2/videos/abrir4.wmv'],Acessibilidades2,1,1
abrir,abrir,abrir,['datasets/ufsc/videos/ABRIR.mp4'],UFSC,5,43
abrir mente,abrir mente,abrir,['datasets/ufsc/videos/ABRIR-MENTE.mp4'],UFSC,0,43
abrir mente,abrir mente,abrir,['./datasets/ufsc_v2/videos/ABRIR-MENTE.mp4'],UFSC_V2,0,42
absoluto,absoluto,absoluto,['./datasets/spread_the_sign/videos/absoluto.mp4'],SpreadTheSign,0,3
absolver,absolver,absolver,['./datasets/acessibilidade_3/videos/absolverSm_Prog001.mp4'],Acessibilidades3,0,2
absolver,absolver,absolver,['./datasets/acessibilidade_2/videos/absolver.wmv'],Acessibilidades2,0,1
abster,abster,abster,['./datasets/ufsc_v2/videos/ABSTER.mp4'],UFSC_V2,0,42
abster,abster,abster,['./datasets/acessibilidade_2/videos/abster.wmv'],Acessibilidades2,0,1
abster,abster,abster,['./datasets/acessibilidade_3/videos/absterSm_Prog001.mp4'],Acessibilidades3,0,2
abster,abster,abster,['datasets/ufsc/videos/ABSTER.mp4'],UFSC,0,45
abster se,abster se,abster,['./datasets/spread_the_sign/videos/abster-se.mp4'],SpreadTheSign,0,5
abusado,abusado,abusar,['./datasets/acessibilidade_2/videos/abusado.wmv'],Acessibilidades2,0,1
abusado,abusado,abusar,['./datasets/acessibilidade_3/videos/abusadoSm_Prog001.mp4'],Acessibilidades3,0,2
abusar,abusar,abusar,['./datasets/acessibilidade_3/videos/abusarSm_Prog001.mp4'],Acessibilidades3,0,2
abusar,abusar,abusar,['./datasets/acessibilidade_2/videos/abusar.wmv'],Acessibilidades2,0,1
acadêmica,acadêmica,acadêmico,['datasets/ufsc/videos/ACAD%C3%8AMICA.mp4'],UFSC,0,43
acadêmica,acadêmica,acadêmico,['./datasets/ufsc_v2/videos/ACADÊMICA.mp4'],UFSC_V2,0,42
acai,açaí,acair,['./datasets/acessibilidade_3/videos/acaiSm_Prog001.mp4'],Acessibilidades3,0,2
acai,açaí,acair,['./datasets/acessibilidade_2/videos/acai.wmv'],Acessibilidades2,0,1
acalentar,acalentar,acalentar,['./datasets/acessibilidade_3/videos/acalentarSm_Prog001.mp4'],Acessibilidades3,0,2
acalentar,acalentar,acalentar,['./datasets/acessibilidade_2/videos/acalentar.wmv'],Acessibilidades2,0,1
acamado,acamado,acamar,['./datasets/spread_the_sign/videos/acamado.mp4'],SpreadTheSign,0,3
acampamento,acampamento,acampamento,['./datasets/acessibilidade_3/videos/acampamentoSm_Prog001.mp4'],Acessibilidades3,0,2
acampamento,acampamento,acampamento,['./datasets/youtube_v2/videos/Libras - Acampamento (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
acampamento,acampamento,acampamento,['./datasets/acessibilidade_2/videos/acampamento.wmv'],Acessibilidades2,0,1
acampar,acampar,acampar,['./datasets/acessibilidade_2/videos/acampar.wmv'],Acessibilidades2,0,1
acampar,acampar,acampar,['./datasets/acessibilidade_3/videos/acamparSm_Prog001.mp4'],Acessibilidades3,0,2
acanhado,acanhado,acanhar,['./datasets/acessibilidade_3/videos/acanhadoSm_Prog001.mp4'],Acessibilidades3,0,2
acanhado,acanhado,acanhar,['./datasets/acessibilidade_2/videos/acanhado.wmv'],Acessibilidades2,0,1
acariciar,acariciar,acariciar,['./datasets/acessibilidade_2/videos/acariciar.wmv'],Acessibilidades2,0,1
acariciar,acariciar,acariciar,['./datasets/acessibilidade_3/videos/acariciarSm_Prog001.mp4'],Acessibilidades3,0,2
acasalar,acasalar,acasalar,['./datasets/acessibilidade_2/videos/acasalar.wmv'],Acessibilidades2,0,1
acasalar,acasalar,acasalar,['./datasets/acessibilidade_3/videos/acasalarSm_Prog001.mp4'],Acessibilidades3,0,2
acatar,acatar,acatar,['./datasets/acessibilidade_2/videos/acatar.wmv'],Acessibilidades2,0,1
acatar,acatar,acatar,['./datasets/acessibilidade_3/videos/acatarSm_Prog001.mp4'],Acessibilidades3,0,2
acautelar,acautelar,acautelar,['./datasets/acessibilidade_3/videos/acautelarSm_Prog001.mp4'],Acessibilidades3,0,2
acautelar,acautelar,acautelar,['./datasets/acessibilidade_2/videos/acautelar.wmv'],Acessibilidades2,0,1
aceitar,aceitar,aceitar,['./datasets/spread_the_sign/videos/aceitar.mp4'],SpreadTheSign,0,5
aceitar,aceitar,aceitar,['datasets/ufsc/videos/ACEITAR.mp4'],UFSC,0,44
aceitar,aceitar,aceitar,['./datasets/acessibilidade_3/videos/aceitarSm_Prog001.mp4'],Acessibilidades3,0,2
aceitar,aceitar,aceitar,['./datasets/ufsc_v2/videos/ACEITAR.mp4'],UFSC_V2,0,42
aceitar,aceitar,aceitar,['./datasets/acessibilidade_2/videos/aceitar.wmv'],Acessibilidades2,0,1
acelerador,acelerador,acelerador,['./datasets/spread_the_sign/videos/acelerador.mp4'],SpreadTheSign,0,3
aceleração,aceleração,aceleração,['./datasets/spread_the_sign/videos/aceleração.mp4'],SpreadTheSign,0,5
acenar,acenar,acenar,['./datasets/acessibilidade_3/videos/acenarSm_Prog001.mp4'],Acessibilidades3,0,2
acenar,acenar,acenar,['./datasets/acessibilidade_2/videos/acenar.wmv'],Acessibilidades2,0,1
acenar,acenar,acenar,['./datasets/usp/videos/acenar.mp4'],USP,0,47
acendedor,acendedor,acendedor,['datasets/ufsc/videos/ACENDEDOR.mp4'],UFSC,0,43
acendedor,acendedor,acendedor,['./datasets/ufsc_v2/videos/ACENDEDOR.mp4'],UFSC_V2,0,42
acender farol,acender farol,acender,['datasets/ufsc/videos/ACENDER-FAROL.mp4'],UFSC,0,43
acender farol,acender farol,acender,['./datasets/ufsc_v2/videos/ACENDER-FAROL.mp4'],UFSC_V2,0,42
acento,acento,acento,['./datasets/acessibilidade_3/videos/acento2Sm_Prog001.mp4'],Acessibilidades3,0,2
acento,acento,acento,['./datasets/acessibilidade_2/videos/acento1.wmv'],Acessibilidades2,1,1
acento,acento,acento,['./datasets/acessibilidade_2/videos/acento2.wmv'],Acessibilidades2,0,1
acento,acento,acento,['./datasets/acessibilidade_3/videos/acento1Sm_Prog001.mp4'],Acessibilidades3,1,2
acercar,acercar,acercar,['./datasets/acessibilidade_3/videos/acercarSm_Prog001.mp4'],Acessibilidades3,0,2
acercar,acercar,acercar,['./datasets/acessibilidade_2/videos/acercar.wmv'],Acessibilidades2,0,1
acerola,acerola,acerolo,['./datasets/ufv/videos/acerola.mp4'],UFV,0,50
aceso,aceso,aceso,['./datasets/acessibilidade_2/videos/aceso.wmv'],Acessibilidades2,0,1
aceso,aceso,aceso,['./datasets/acessibilidade_3/videos/acesoSm_Prog001.mp4'],Acessibilidades3,0,2
acessibilidade,acessibilidade,acessibilidade,['./datasets/ufsc_v2/videos/ACESSIBILIDADE.mp4'],UFSC_V2,0,42
acessibilidade,acessibilidade,acessibilidade,['./datasets/ufv/videos/acessibilidade.mp4'],UFV,0,54
acessibilidade,acessibilidade,acessibilidade,['datasets/ufsc/videos/ACESSIBILIDADE.mp4'],UFSC,0,43
acesso,acesso,acesso,['./datasets/acessibilidade_3/videos/acesso2Sm_Prog001.mp4'],Acessibilidades3,1,2
acesso,acesso,acesso,['./datasets/acessibilidade_3/videos/acesso1Sm_Prog001.mp4'],Acessibilidades3,0,2
acesso,acesso,acesso,['./datasets/acessibilidade_2/videos/acesso2.wmv'],Acessibilidades2,1,1
acesso,acesso,acesso,['./datasets/acessibilidade_2/videos/acesso1.wmv'],Acessibilidades2,0,1
acessórios,acessórios,acessório,['./datasets/spread_the_sign/videos/acessórios.mp4'],SpreadTheSign,0,12
acetona,acetona,acetonar,['./datasets/ufsc_v2/videos/ACETONA.mp4'],UFSC_V2,0,42
acetona,acetona,acetonar,['datasets/ufsc/videos/ACETONA.mp4'],UFSC,0,43
achocolatado,achocolatado,achocolatar,['./datasets/ufv/videos/achocolatado.mp4'],UFV,0,50
acidente,acidente,acidente,['datasets/ufsc/videos/ACIDENTE.mp4'],UFSC,2,43
acidente,acidente,acidente,['./datasets/acessibilidade_2/videos/acidente2.wmv'],Acessibilidades2,0,1
acidente,acidente,acidente,['./datasets/acessibilidade_2/videos/acidente1.wmv'],Acessibilidades2,1,1
acidente,acidente,acidente,['./datasets/ufsc_v2/videos/ACIDENTE.mp4'],UFSC_V2,2,42
acidente,acidente,acidente,['./datasets/acessibilidade_3/videos/acidente1Sm_Prog001.mp4'],Acessibilidades3,1,2
acidente,acidente,acidente,['./datasets/acessibilidade_3/videos/acidente2Sm_Prog001.mp4'],Acessibilidades3,0,2
acidentedecarro,acidentedecarro,acidentedecarro,['./datasets/ufv/videos/1224-acidentedecarro.mp4'],UFV,0,48
acido,ácido,acer,['./datasets/acessibilidade_2/videos/acido.wmv'],Acessibilidades2,0,1
acido,ácido,acer,['./datasets/acessibilidade_3/videos/acidoSm_Prog001.mp4'],Acessibilidades3,0,2
aclamar,aclamar,aclamar,['./datasets/spread_the_sign/videos/aclamar.mp4'],SpreadTheSign,0,5
aclive,aclive,aclive,['./datasets/acessibilidade_3/videos/acliveSm_Prog001.mp4'],Acessibilidades3,0,2
aclive,aclive,aclive,['./datasets/acessibilidade_2/videos/aclive.wmv'],Acessibilidades2,0,1
acoitar,açoitar,acoitar,['./datasets/acessibilidade_3/videos/acoitarSm_Prog001.mp4'],Acessibilidades3,0,2
acoitar,açoitar,acoitar,['./datasets/acessibilidade_2/videos/acoitar.wmv'],Acessibilidades2,0,1
acoite,açoite,acoitar,['./datasets/acessibilidade_3/videos/acoiteSm_Prog001.mp4'],Acessibilidades3,0,2
acoite,açoite,acoitar,['./datasets/acessibilidade_2/videos/acoite.wmv'],Acessibilidades2,0,1
acomodado,acomodado,acomodar,['./datasets/acessibilidade_2/videos/acomodado.wmv'],Acessibilidades2,0,1
acomodado,acomodado,acomodar,['./datasets/acessibilidade_3/videos/acomodadoSm_Prog001.mp4'],Acessibilidades3,0,2
acomodar,acomodar,acomodar,['./datasets/ufsc_v2/videos/ACOMODAR.mp4'],UFSC_V2,0,42
acomodar,acomodar,acomodar,['./datasets/acessibilidade_3/videos/acomodarSm_Prog001.mp4'],Acessibilidades3,0,2
acomodar,acomodar,acomodar,['./datasets/acessibilidade_2/videos/acomodar.wmv'],Acessibilidades2,0,1
acomodar,acomodar,acomodar,['datasets/ufsc/videos/ACOMODAR.mp4'],UFSC,0,45
acomodações,acomodações,acomodação,['./datasets/spread_the_sign/videos/acomodações.mp4'],SpreadTheSign,0,3
acompanhado,acompanhado,acompanhar,['./datasets/acessibilidade_2/videos/acompanhado.wmv'],Acessibilidades2,0,1
acompanhado,acompanhado,acompanhar,['./datasets/acessibilidade_3/videos/acompanhadoSm_Prog001.mp4'],Acessibilidades3,0,2
aconchegar,aconchegar,aconchegar,['./datasets/acessibilidade_3/videos/aconchegarSm_Prog001.mp4'],Acessibilidades3,0,2
aconchegar,aconchegar,aconchegar,['./datasets/acessibilidade_2/videos/aconchegar.wmv'],Acessibilidades2,0,1
aconselhamento,aconselhamento,aconselhamento,['./datasets/spread_the_sign/videos/aconselhamento.mp4'],SpreadTheSign,0,15
aconselhar,aconselhar,aconselhar,['./datasets/acessibilidade_3/videos/aconselharSm_Prog001.mp4'],Acessibilidades3,0,2
aconselhar,aconselhar,aconselhar,['./datasets/spread_the_sign/videos/aconselhar.mp4'],SpreadTheSign,0,5
aconselhar,aconselhar,aconselhar,['./datasets/acessibilidade_2/videos/aconselhar.wmv'],Acessibilidades2,0,1
aconselhar,aconselhar,aconselhar,['./datasets/ufsc_v2/videos/ACONSELHAR.mp4'],UFSC_V2,0,42
aconselhar,aconselhar,aconselhar,['./datasets/youtube_v2/videos/Libras - Aconselhar (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
aconselhar,aconselhar,aconselhar,['datasets/ufsc/videos/ACONSELHAR.mp4'],UFSC,0,44
acordado,acordado,acordar,['./datasets/acessibilidade_3/videos/acordadoSm_Prog001.mp4'],Acessibilidades3,0,2
acordado,acordado,acordar,['./datasets/acessibilidade_2/videos/acordado2.wmv'],Acessibilidades2,0,1
