name,checked,lemma,path,dictionary,group,actor
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abrir5.wmv'],Acessibilidades2,4,1
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abrir4.wmv'],Acessibilidades2,1,1
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ABRIR.mp4'],UFSC,5,43
acai,açaí,acair,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acaiSm_Prog001.mp4'],Acessibilidades3,0,2
acai,açaí,acair,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acai.wmv'],Acessibilidades2,0,1
acai,açai,açai,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AÇAI.mp4'],UFSC_V2,0,42
acai,açai,açai,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/A%C3%87AI.mp4'],UFSC,0,43
acai,açaí,açaí,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/açaí.mp4'],UFV,0,49
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ACIDENTE.mp4'],UFSC,2,43
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acidente2.wmv'],Acessibilidades2,0,1
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acidente1.wmv'],Acessibilidades2,1,1
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ACIDENTE.mp4'],UFSC_V2,2,42
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acidente1Sm_Prog001.mp4'],Acessibilidades3,1,2
acidente,acidente,acidente,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acidente2Sm_Prog001.mp4'],Acessibilidades3,0,2
aconselhar,aconselhar,aconselhar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/aconselharSm_Prog001.mp4'],Acessibilidades3,0,2
aconselhar,aconselhar,aconselhar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/aconselhar.wmv'],Acessibilidades2,0,1
aconselhar,aconselhar,aconselhar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ACONSELHAR.mp4'],UFSC_V2,0,42
aconselhar,aconselhar,aconselhar,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Aconselhar (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
aconselhar,aconselhar,aconselhar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ACONSELHAR.mp4'],UFSC,0,44
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ACORDAR.mp4'],UFSC_V2,0,42
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acordar1.wmv'],Acessibilidades2,1,1
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ACORDAR.mp4'],UFSC,0,44
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acordar2.wmv'],Acessibilidades2,0,1
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acordar2Sm_Prog001.mp4'],Acessibilidades3,0,2
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Acordar (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,1,41
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acordar1Sm_Prog001.mp4'],Acessibilidades3,1,2
acordar,acordar,acordar,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/acordar.mp4'],USP,2,47
acreditar,acreditar,acreditar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/acreditarSm_Prog001.mp4'],Acessibilidades3,0,2
acreditar,acreditar,acreditar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ACREDITAR.mp4'],UFSC,0,43
acreditar,acreditar,acreditar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/acreditar.wmv'],Acessibilidades2,0,1
acreditar,acreditar,acreditar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ACREDITAR.mp4'],UFSC_V2,0,42
acreditar,acreditar,acreditar,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/acreditar.mp4'],USP,0,47
adeus,adeus,adeus,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/adeus2Sm_Prog001.mp4'],Acessibilidades3,0,2
adeus,adeus,adeus,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/adeusSm_Prog001.mp4'],Acessibilidades3,1,2
adeus,adeus,adeus,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01566-Adeus.mp4'],UFV,1,48
adeus,adeus,adeus,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/adeus2.wmv'],Acessibilidades2,0,1
adeus,adeus,adeus,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/adeus.wmv'],Acessibilidades2,1,1
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/1399-advogado.mp4'],UFV,0,48
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/advogado.wmv'],Acessibilidades2,0,1
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ADVOGADO.mp4'],UFSC_V2,0,42
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/advogadoSm_Prog001.mp4'],Acessibilidades3,0,2
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ADVOGADO.mp4'],UFSC,0,45
advogado,advogado,advogado,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Advogado (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
aeroporto,aeroporto,aeroporto,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Aeroporto (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,1,41
aeroporto,aeroporto,aeroporto,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/aeroportoSm_Prog001.mp4'],Acessibilidades3,0,2
aeroporto,aeroporto,aeroporto,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AEROPORTO.mp4'],UFSC,2,44
aeroporto,aeroporto,aeroporto,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/aeroporto.wmv'],Acessibilidades2,0,1
aeroporto,aeroporto,aeroporto,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AEROPORTO.mp4'],UFSC_V2,2,42
afogar,afogar,afogar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/afogar2.wmv'],Acessibilidades2,2,1
afogar,afogar,afogar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/afogar1.wmv'],Acessibilidades2,1,1
afogar,afogar,afogar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/afogar1Sm_Prog001.mp4'],Acessibilidades3,1,2
afogar,afogar,afogar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01573-Afogar.mp4'],UFV,0,48
afogar,afogar,afogar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/afogar2Sm_Prog001.mp4'],Acessibilidades3,2,2
agora,agora,agora,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/agoraSm_Prog001.mp4'],Acessibilidades3,0,2
agora,agora,agora,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/agora.wmv'],Acessibilidades2,0,1
agora,agora,agora,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AGORA.mp4'],UFSC,0,44
agora,agora,agora,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AGORA.mp4'],UFSC_V2,0,42
agora,agora,agora,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/agora.mp4'],USP,0,47
agradecer,agradecer,agradecer,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AGRADECER.mp4'],UFSC_V2,1,42
agradecer,agradecer,agradecer,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/agradecerSm_Prog001.mp4'],Acessibilidades3,0,2
agradecer,agradecer,agradecer,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/agradecer.wmv'],Acessibilidades2,0,1
agradecer,agradecer,agradecer,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/agradecer.mp4'],USP,1,47
agradecer,agradecer,agradecer,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AGRADECER.mp4'],UFSC,1,44
agua,água,aguo,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/aguaSm_Prog001.mp4'],Acessibilidades3,0,2
agua,água,aguo,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/agua.wmv'],Acessibilidades2,0,1
agua,água,água,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ÁGUA.mp4'],UFSC_V2,0,42
agua,água,água,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Água (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
agua,água,água,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/%C3%81GUA.mp4'],UFSC,0,44
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/alcancar1Sm_Prog001.mp4'],Acessibilidades3,0,2
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/alcancar2.wmv'],Acessibilidades2,1,1
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/alcancar1.wmv'],Acessibilidades2,0,1
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/alcancar3.wmv'],Acessibilidades2,2,1
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/alcancar2Sm_Prog001.mp4'],Acessibilidades3,1,2
alcancar,alcançar,alcancar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/alcancar3Sm_Prog001.mp4'],Acessibilidades3,2,2
alemanha,alemanha,alemanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/alemanha.wmv'],Acessibilidades2,0,1
alemanha,alemanha,alemanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ALEMANHA.mp4'],UFSC_V2,0,42
alemanha,alemanha,alemanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/00996-alemanha.mp4'],UFV,0,48
alemanha,alemanha,alemanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/alemanhaSm_Prog001.mp4'],Acessibilidades3,0,2
alemanha,alemanhã,alemanhã,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ALEMANH%C3%83.mp4'],UFSC,0,43
algodao,algodão,algodao,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/algodaoSm_Prog001.mp4'],Acessibilidades3,0,2
algodao,algodão,algodao,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/algodao.wmv'],Acessibilidades2,0,1
algodao,algodão,algodãor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ALGOD%C3%83O.mp4'],UFSC,0,43
algodao,algodão,algodãor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/algodão.mp4'],UFV,1,50
algodao,algodão,algodãor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ALGODÃO.mp4'],UFSC_V2,0,42
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/algum3Sm_Prog001.mp4'],Acessibilidades3,1,2
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/algum1Sm_Prog001.mp4'],Acessibilidades3,0,2
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/algum2Sm_Prog001.mp4'],Acessibilidades3,2,2
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ALGUM.mp4'],UFSC_V2,0,42
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/algum2.wmv'],Acessibilidades2,2,1
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/1359-algum.mp4'],UFV,0,48
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/algum1.wmv'],Acessibilidades2,0,1
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ALGUM.mp4'],UFSC,0,44
algum,algum,algum,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/algum3.wmv'],Acessibilidades2,1,1
almocar,almoçar,almocar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/almocar.wmv'],Acessibilidades2,0,1
almocar,almoçar,almocar,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/almocar.mp4'],USP,1,47
almocar,almoçar,almocar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/almocarSm_Prog001.mp4'],Acessibilidades3,0,2
almocar,almoçar,almoçar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01583-Almoçar.mp4'],UFV,0,48
almocar,almoçar,almoçar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ALMOÇAR.mp4'],UFSC_V2,0,42
almocar,almoçar,almoçar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ALMO%C3%87AR%20.mp4'],UFSC,0,46
alugar,alugar,alugar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/alugar.wmv'],Acessibilidades2,0,1
alugar,alugar,alugar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ALUGAR.mp4'],UFSC_V2,0,42
alugar,alugar,alugar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ALUGAR.mp4'],UFSC,0,44
alugar,alugar,alugar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/alugarSm_Prog001.mp4'],Acessibilidades3,0,2
alugar,alugar,alugar,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Alugar (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
amanha,amanhã,amanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/amanha.mp4'],USP,0,47
amanha,amanhã,amanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/742-amanha.mp4'],UFV,0,48
amanha,amanhã,amanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amanha.wmv'],Acessibilidades2,0,1
amanha,amanhã,amanho,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amanhaSm_Prog001.mp4'],Acessibilidades3,0,2
amanha,amanhã,amanhã,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMANH%C3%83.mp4'],UFSC,0,46
amanha,amanhã,amanhã,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMANHÃ.mp4'],UFSC_V2,0,42
amanha,amanhã,amanhã,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Amanhã (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
amanha,amanhã,amanhã,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Amanhã (480p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,57
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMANTE.mp4'],UFSC_V2,0,42
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Amante (480p_30fps_H264-128kbit_AAC).mp4'],Youtube,1,51
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMANTE.mp4'],UFSC,0,44
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01586-Amante.mp4'],UFV,1,48
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amanteSm_Prog001.mp4'],Acessibilidades3,0,2
amante,amante,amante,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amante.wmv'],Acessibilidades2,0,1
amapa,amapá,amapa,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/00997-amapa.mp4'],UFV,0,48
amapa,amapá,amapa,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amapaSm_Prog001.mp4'],Acessibilidades3,0,2
amapa,amapá,amapa,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amapa1.wmv'],Acessibilidades2,0,1
amapa,amapá,amapá,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMAP%C3%81.mp4'],UFSC,0,44
amapa,amapá,amapá,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMAPÁ.mp4'],UFSC_V2,0,42
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amendoim.wmv'],Acessibilidades2,0,1
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amendoimSm_Prog001.mp4'],Acessibilidades3,0,2
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/amendoim.mp4'],UFV,0,49
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Amendoim (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,1,41
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMENDOIM2.mp4'],UFSC_V2,1,42
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMENDOIM.mp4'],UFSC,0,44
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMENDOIM.mp4'],UFSC_V2,0,42
amendoim,amendoim,amendoim,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMENDOIM2.mp4'],UFSC,1,44
america,américa,americar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/00999-america.mp4'],UFV,0,48
america,américa,americar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/america.wmv'],Acessibilidades2,0,1
america,américa,americar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/americaSm_Prog001.mp4'],Acessibilidades3,0,2
america,américa,américar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AM%C3%89RICA.mp4'],UFSC,0,44
america,américa,américar,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - América (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
america,américa,américar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMÉRICA.mp4'],UFSC_V2,0,42
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMOR.mp4'],UFSC_V2,0,42
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amor1Sm_Prog001.mp4'],Acessibilidades3,0,2
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMOR.mp4'],UFSC,0,46
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01587-Amor.mp4'],UFV,0,48
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/amor.mp4'],USP,0,47
amor,amor,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amor1.wmv'],Acessibilidades2,0,1
amora,amora,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/amora.wmv'],Acessibilidades2,0,1
amora,amora,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Amora (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,1,41
amora,amora,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/amoraSm_Prog001.mp4'],Acessibilidades3,0,2
amora,amora,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/AMORA.mp4'],UFSC,0,44
amora,amora,amor,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/AMORA.mp4'],UFSC_V2,0,42
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/animais.wmv'],Acessibilidades2,0,1
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ANIMAIS.mp4'],UFSC_V2,0,42
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/animaisSm_Prog001.mp4'],Acessibilidades3,0,2
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ANIMAIS2.mp4'],UFSC_V2,1,42
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ANIMAIS.mp4'],UFSC,0,44
animais,animais,animal,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ANIMAIS2.mp4'],UFSC,1,44
aniversario,aniversário,aniversario,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/aniversario1.wmv'],Acessibilidades2,1,1
aniversario,aniversário,aniversario,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/aniversario2Sm_Prog001.mp4'],Acessibilidades3,0,2
aniversario,aniversário,aniversario,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/aniversario2.wmv'],Acessibilidades2,0,1
aniversario,aniversário,aniversario,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/aniversario1Sm_Prog001.mp4'],Acessibilidades3,1,2
aniversario,aniversário,aniversário,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ANIVERS%C3%81RIO.mp4'],UFSC,0,44
aniversario,aniversário,aniversário,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ANIVERSÁRIO.mp4'],UFSC_V2,0,42
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/antena2Sm_Prog001.mp4'],Acessibilidades3,0,2
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/antena1Sm_Prog001.mp4'],Acessibilidades3,1,2
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/antena3Sm_Prog001.mp4'],Acessibilidades3,2,2
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/antena2.wmv'],Acessibilidades2,0,1
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/antena3.wmv'],Acessibilidades2,2,1
antena,antena,anteno,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/antena1.wmv'],Acessibilidades2,1,1
antes,antes,antes,['/mnt/B-SSD/LIBRAS-dataset/datasets/usp/videos/antes.mp4'],USP,1,47
antes,antes,antes,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01513-Antes.mp4'],UFV,1,48
