original,checked,lemma,path,dictionary
desporto,desporto,desporto,['./datasets/acessibilidade_2/videos/desporto.wmv'],Acessibilidades2
esposa,esposa,esposo,['./datasets/acessibilidade_2/videos/esposa.wmv'],Acessibilidades2
fabula,fábula,fabular,['./datasets/acessibilidade_2/videos/fabula.wmv'],Acessibilidades2
encorajamento,encorajamento,encorajamento,['./datasets/acessibilidade_2/videos/encorajamento.wmv'],Acessibilidades2
quase,quase,quase,"['./datasets/acessibilidade_2/videos/quase2.wmv', './datasets/acessibilidade_2/videos/quase1.wmv']",Acessibilidades2
funcionario,funcionário,funcionario,['./datasets/acessibilidade_2/videos/funcionario.wmv'],Acessibilidades2
comecar,começar,comecar,"['./datasets/acessibilidade_2/videos/comecar1.wmv', './datasets/acessibilidade_2/videos/comecar2.wmv']",Acessibilidades2
nuca,nuca,nucar,['./datasets/acessibilidade_2/videos/nuca.wmv'],Acessibilidades2
aparelho desom,aparelho desom,aparelho,['./datasets/acessibilidade_2/videos/aparelho_desom.wmv'],Acessibilidades2
enterrar,enterrar,enterrar,['./datasets/acessibilidade_2/videos/enterrar.wmv'],Acessibilidades2
aeronautica,aeronáutica,aeronautico,['./datasets/acessibilidade_2/videos/aeronautica1.wmv'],Acessibilidades2
analisar,analisar,analisar,['./datasets/acessibilidade_2/videos/analisar.wmv'],Acessibilidades2
sabio,sábio,sabio,['./datasets/acessibilidade_2/videos/sabio.wmv'],Acessibilidades2
cauda,cauda,cauda,"['./datasets/acessibilidade_2/videos/cauda.wmv', './datasets/acessibilidade_2/videos/cauda1.wmv']",Acessibilidades2
escravo,escravo,escravo,['./datasets/acessibilidade_2/videos/escravo.wmv'],Acessibilidades2
farol,farol,farol,"['./datasets/acessibilidade_2/videos/farol2.wmv', './datasets/acessibilidade_2/videos/farol1.wmv']",Acessibilidades2
apelidar,apelidar,apelidar,"['./datasets/acessibilidade_2/videos/apelidar1.wmv', './datasets/acessibilidade_2/videos/apelidar2.wmv']",Acessibilidades2
pipa,pipa,pipar,['./datasets/acessibilidade_2/videos/pipa.wmv'],Acessibilidades2
cozido,cozido,cozer,['./datasets/acessibilidade_2/videos/cozido.wmv'],Acessibilidades2
sumariar,sumariar,sumariar,['./datasets/acessibilidade_2/videos/sumariar.wmv'],Acessibilidades2
capengar,capengar,capengar,['./datasets/acessibilidade_2/videos/capengar.wmv'],Acessibilidades2
bolsa de estudo,bolsa de estudo,Bolsa,['./datasets/acessibilidade_2/videos/bolsa-de-estudo.wmv'],Acessibilidades2
restaurante,restaurante,restaurante,['./datasets/acessibilidade_2/videos/restaurante.wmv'],Acessibilidades2
inscrever,inscrever,inscrever,['./datasets/acessibilidade_2/videos/inscrever.wmv'],Acessibilidades2
apertar,apertar,apertar,['./datasets/acessibilidade_2/videos/apertar.wmv'],Acessibilidades2
observar,observar,observar,"['./datasets/acessibilidade_2/videos/observar2.wmv', './datasets/acessibilidade_2/videos/observar1.wmv']",Acessibilidades2
ruivo,ruivo,ruivo,['./datasets/acessibilidade_2/videos/ruivo.wmv'],Acessibilidades2
assumir,assumir,assumir,"['./datasets/acessibilidade_2/videos/assumir2.wmv', './datasets/acessibilidade_2/videos/assumir1.wmv', './datasets/acessibilidade_2/videos/assumir3.wmv']",Acessibilidades2
chave de fenda,chave de fenda,chave,['./datasets/acessibilidade_2/videos/chave_de_fenda.wmv'],Acessibilidades2
goiaba,goiaba,goiaba,['./datasets/acessibilidade_2/videos/goiaba.wmv'],Acessibilidades2
nave,nave,nave,['./datasets/acessibilidade_2/videos/nave1.wmv'],Acessibilidades2
enforcar,enforcar,enforcar,['./datasets/acessibilidade_2/videos/enforcar.wmv'],Acessibilidades2
filosofia,filosofia,filosofia,['./datasets/acessibilidade_2/videos/filosofia.wmv'],Acessibilidades2
libertar,libertar,libertar,['./datasets/acessibilidade_2/videos/libertar.wmv'],Acessibilidades2
trienio,triênio,trienio,['./datasets/acessibilidade_2/videos/trienio.wmv'],Acessibilidades2
acautelar,acautelar,acautelar,['./datasets/acessibilidade_2/videos/acautelar.wmv'],Acessibilidades2
morro,morro,morro,"['./datasets/acessibilidade_2/videos/morro.wmv', './datasets/acessibilidade_2/videos/morro2.wmv']",Acessibilidades2
espirito santo,espírito santo,espirito,"['./datasets/acessibilidade_2/videos/espirito-santo2.wmv', './datasets/acessibilidade_2/videos/espirito-santo1.wmv']",Acessibilidades2
comida,comida,comer,['./datasets/acessibilidade_2/videos/comida.wmv'],Acessibilidades2
oculista,oculista,oculista,['./datasets/acessibilidade_2/videos/oculista.wmv'],Acessibilidades2
paulada,paulada,paular,['./datasets/acessibilidade_2/videos/paulada.wmv'],Acessibilidades2
polo,pólo,polo,"['./datasets/acessibilidade_2/videos/polo3.wmv', './datasets/acessibilidade_2/videos/polo2.wmv', './datasets/acessibilidade_2/videos/polo1.wmv']",Acessibilidades2
encobrir,encobrir,encobrir,['./datasets/acessibilidade_2/videos/encobrir.wmv'],Acessibilidades2
alugar,alugar,alugar,['./datasets/acessibilidade_2/videos/alugar.wmv'],Acessibilidades2
sobressaltar,sobressaltar,sobressaltar,['./datasets/acessibilidade_2/videos/sobressaltar.wmv'],Acessibilidades2
culto,culto,culto,"['./datasets/acessibilidade_2/videos/culto1.wmv', './datasets/acessibilidade_2/videos/culto2.wmv']",Acessibilidades2
pomada,pomada,pomar,['./datasets/acessibilidade_2/videos/pomada.wmv'],Acessibilidades2
traseiro,traseiro,traseiro,"['./datasets/acessibilidade_2/videos/traseiro1.wmv', './datasets/acessibilidade_2/videos/traseiro2.wmv']",Acessibilidades2
sacanagem,sacanagem,sacanagem,['./datasets/acessibilidade_2/videos/sacanagem.wmv'],Acessibilidades2
tres,três,tr,"['./datasets/acessibilidade_2/videos/tres2.wmv', './datasets/acessibilidade_2/videos/tres1.wmv']",Acessibilidades2
quinta serie,quinta serie,quinto,['./datasets/acessibilidade_2/videos/quinta-serie.wmv'],Acessibilidades2
calo,calo,calo,['./datasets/acessibilidade_2/videos/calo.wmv'],Acessibilidades2
beliscar,beliscar,beliscar,['./datasets/acessibilidade_2/videos/beliscar.wmv'],Acessibilidades2
afastado,afastado,afastar,"['./datasets/acessibilidade_2/videos/afastado2.wmv', './datasets/acessibilidade_2/videos/afastado1.wmv']",Acessibilidades2
converter,converter,converter,['./datasets/acessibilidade_2/videos/converter.wmv'],Acessibilidades2
costureira,costureira,costureira,['./datasets/acessibilidade_2/videos/costureira.wmv'],Acessibilidades2
velho,velho,velho,"['./datasets/acessibilidade_2/videos/velho1.wmv', './datasets/acessibilidade_2/videos/velho2.wmv']",Acessibilidades2
independente,independente,independente,['./datasets/acessibilidade_2/videos/independente.wmv'],Acessibilidades2
escultura,escultura,escultura,['./datasets/acessibilidade_2/videos/escultura.wmv'],Acessibilidades2
leitao,leitão,leitao,['./datasets/acessibilidade_2/videos/leitao.wmv'],Acessibilidades2
problematico,problemático,problematico,['./datasets/acessibilidade_2/videos/problematico.wmv'],Acessibilidades2
trair,trair,trair,['./datasets/acessibilidade_2/videos/trair2.wmv'],Acessibilidades2
mes,mês,mes,['./datasets/acessibilidade_2/videos/mes.wmv'],Acessibilidades2
vibora,víbora,vibora,['./datasets/acessibilidade_2/videos/vibora.wmv'],Acessibilidades2
madrasta,madrasta,madrasta,['./datasets/acessibilidade_2/videos/madrasta.wmv'],Acessibilidades2
detergente,detergente,detergente,['./datasets/acessibilidade_2/videos/detergente.wmv'],Acessibilidades2
nojo,nojo,nojo,['./datasets/acessibilidade_2/videos/nojo.wmv'],Acessibilidades2
teste,teste,teste,['./datasets/acessibilidade_2/videos/teste1.wmv'],Acessibilidades2
jilo,jiló,jilo,['./datasets/acessibilidade_2/videos/jilo.wmv'],Acessibilidades2
beijar,beijar,beijar,"['./datasets/acessibilidade_2/videos/beijar2.wmv', './datasets/acessibilidade_2/videos/beijar3.wmv', './datasets/acessibilidade_2/videos/beijar1.wmv']",Acessibilidades2
medicina,medicina,Medicina,['./datasets/acessibilidade_2/videos/medicina.wmv'],Acessibilidades2
redor,redor,redor,['./datasets/acessibilidade_2/videos/redor.wmv'],Acessibilidades2
enganar,enganar,enganar,"['./datasets/acessibilidade_2/videos/enganar1.wmv', './datasets/acessibilidade_2/videos/enganar2.wmv']",Acessibilidades2
estrela,estrela,estrela,['./datasets/acessibilidade_2/videos/estrela.wmv'],Acessibilidades2
esponja,esponja,esponja,['./datasets/acessibilidade_2/videos/esponja.wmv'],Acessibilidades2
grupo,grupo,grupo,"['./datasets/acessibilidade_2/videos/grupo.wmv', './datasets/acessibilidade_2/videos/grupo2.wmv']",Acessibilidades2
van,van,van,['./datasets/acessibilidade_2/videos/van.wmv'],Acessibilidades2
tolice,tolice,tolice,['./datasets/acessibilidade_2/videos/tolice.wmv'],Acessibilidades2
masturbar,masturbar,masturbar,"['./datasets/acessibilidade_2/videos/masturbar1.wmv', './datasets/acessibilidade_2/videos/masturbar2.wmv']",Acessibilidades2
rio grande do norte,rio grande do norte,Rio,['./datasets/acessibilidade_2/videos/rio-grande-do-norte.wmv'],Acessibilidades2
crespo,crespo,crespo,['./datasets/acessibilidade_2/videos/crespo.wmv'],Acessibilidades2
onibus,ônibus,onibu,"['./datasets/acessibilidade_2/videos/onibus3.wmv', './datasets/acessibilidade_2/videos/onibus2.wmv']",Acessibilidades2
nene,nenê,nene,['./datasets/acessibilidade_2/videos/nene.wmv'],Acessibilidades2
decompor,decompor,decompor,['./datasets/acessibilidade_2/videos/decompor.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,"['./datasets/acessibilidade_2/videos/ninguem4.wmv', './datasets/acessibilidade_2/videos/ninguem1.wmv', './datasets/acessibilidade_2/videos/ninguem6.wmv', './datasets/acessibilidade_2/videos/ninguem2.wmv', './datasets/acessibilidade_2/videos/ninguem5.wmv']",Acessibilidades2
papelao,papelão,papelao,['./datasets/acessibilidade_2/videos/papelao.wmv'],Acessibilidades2
puro,puro,puro,['./datasets/acessibilidade_2/videos/puro.wmv'],Acessibilidades2
exagerado,exagerado,exagerar,['./datasets/acessibilidade_2/videos/exagerado.wmv'],Acessibilidades2
vazio,vazio,vazio,"['./datasets/acessibilidade_2/videos/vazio2.wmv', './datasets/acessibilidade_2/videos/vazio.wmv']",Acessibilidades2
alivio,alívio,alivio,['./datasets/acessibilidade_2/videos/alivio.wmv'],Acessibilidades2
diarreia,diarréia,diarreia,['./datasets/acessibilidade_2/videos/diarreia.wmv'],Acessibilidades2
pisar,pisar,pisar,['./datasets/acessibilidade_2/videos/pisar.wmv'],Acessibilidades2
bencao,benção,bencao,['./datasets/acessibilidade_2/videos/bencao.wmv'],Acessibilidades2
sair,sair,sair,"['./datasets/acessibilidade_2/videos/sair2.wmv', './datasets/acessibilidade_2/videos/sair.wmv']",Acessibilidades2
evangelho,evangelho,evangelho,['./datasets/acessibilidade_2/videos/evangelho.wmv'],Acessibilidades2
para que,pará que,para,['./datasets/acessibilidade_2/videos/para-que.wmv'],Acessibilidades2
quadro,quadro,quadro,['./datasets/acessibilidade_2/videos/quadro.wmv'],Acessibilidades2
apimentado,apimentado,apimentar,['./datasets/acessibilidade_2/videos/apimentado.wmv'],Acessibilidades2
prosperar,prosperar,prosperar,['./datasets/acessibilidade_2/videos/prosperar.wmv'],Acessibilidades2
percentagem,percentagem,percentagem,['./datasets/acessibilidade_2/videos/percentagem.wmv'],Acessibilidades2
direito,direito,direito,"['./datasets/acessibilidade_2/videos/direito2.wmv', './datasets/acessibilidade_2/videos/direito1.wmv', './datasets/acessibilidade_2/videos/direito3.wmv', './datasets/acessibilidade_2/videos/direito.wmv']",Acessibilidades2
planilha,planilha,planilha,['./datasets/acessibilidade_2/videos/planilha.wmv'],Acessibilidades2
praca,praça,praca,"['./datasets/acessibilidade_2/videos/praca3.wmv', './datasets/acessibilidade_2/videos/praca2.wmv']",Acessibilidades2
empatar,empatar,empatar,['./datasets/acessibilidade_2/videos/empatar.wmv'],Acessibilidades2
pedagogia,pedagogia,pedagogia,['./datasets/acessibilidade_2/videos/pedagogia.wmv'],Acessibilidades2
decepcionar,decepcionar,decepcionar,['./datasets/acessibilidade_2/videos/decepcionar.wmv'],Acessibilidades2
gol,gol,gol,['./datasets/acessibilidade_2/videos/gol.wmv'],Acessibilidades2
valente,valente,valente,['./datasets/acessibilidade_2/videos/valente.wmv'],Acessibilidades2
arbusto,arbusto,arbusto,['./datasets/acessibilidade_2/videos/arbusto.wmv'],Acessibilidades2
possivel,possível,possivel,['./datasets/acessibilidade_2/videos/possivel.wmv'],Acessibilidades2
chegar,chegar,chegar,"['./datasets/acessibilidade_2/videos/chegar3.wmv', './datasets/acessibilidade_2/videos/chegar1.wmv', './datasets/acessibilidade_2/videos/chegar2.wmv']",Acessibilidades2
boa vida,boa vida,bom,['./datasets/acessibilidade_2/videos/boa-vida.wmv'],Acessibilidades2
dramatizacao,dramatização,dramatizacao,['./datasets/acessibilidade_2/videos/dramatizacao.wmv'],Acessibilidades2
canadense,canadense,canadense,['./datasets/acessibilidade_2/videos/canadense.wmv'],Acessibilidades2
queixo,queixo,queixo,['./datasets/acessibilidade_2/videos/queixo.wmv'],Acessibilidades2
maraja,marajá,maraja,['./datasets/acessibilidade_2/videos/maraja.wmv'],Acessibilidades2
entornar,entornar,entornar,['./datasets/acessibilidade_2/videos/entornar.wmv'],Acessibilidades2
campeao,campeão,Campeao,['./datasets/acessibilidade_2/videos/campeao.wmv'],Acessibilidades2
ilegal,ilegal,ilegal,"['./datasets/acessibilidade_2/videos/ilegal.wmv', './datasets/acessibilidade_2/videos/ilegal2.wmv']",Acessibilidades2
levantar,levantar,levantar,"['./datasets/acessibilidade_2/videos/levantar3.wmv', './datasets/acessibilidade_2/videos/levantar1.wmv', './datasets/acessibilidade_2/videos/levantar2.wmv']",Acessibilidades2
torcer,torcer,torcer,"['./datasets/acessibilidade_2/videos/torcer3.wmv', './datasets/acessibilidade_2/videos/torcer1.wmv', './datasets/acessibilidade_2/videos/torcer2.wmv']",Acessibilidades2
divertido,divertido,divertido,['./datasets/acessibilidade_2/videos/divertido.wmv'],Acessibilidades2
malvado,malvado,malvar,['./datasets/acessibilidade_2/videos/malvado.wmv'],Acessibilidades2
marmita,marmita,marmitar,['./datasets/acessibilidade_2/videos/marmita.wmv'],Acessibilidades2
canal de tv,canal de tv,canal,['./datasets/acessibilidade_2/videos/canal-de-tv.wmv'],Acessibilidades2
eliminar,eliminar,eliminar,['./datasets/acessibilidade_2/videos/eliminar.wmv'],Acessibilidades2
coelho,coelho,coelho,['./datasets/acessibilidade_2/videos/coelho.wmv'],Acessibilidades2
chega,chega,chegar,['./datasets/acessibilidade_2/videos/chega.wmv'],Acessibilidades2
vovo,vovó,vovo,"['./datasets/acessibilidade_2/videos/vovo2.wmv', './datasets/acessibilidade_2/videos/vovo1.wmv']",Acessibilidades2
intervalo,intervalo,intervalo,['./datasets/acessibilidade_2/videos/intervalo.wmv'],Acessibilidades2
algum,algum,algum,"['./datasets/acessibilidade_2/videos/algum1.wmv', './datasets/acessibilidade_2/videos/algum3.wmv', './datasets/acessibilidade_2/videos/algum2.wmv']",Acessibilidades2
coincidencia,coincidência,coincidencia,"['./datasets/acessibilidade_2/videos/coincidencia2.wmv', './datasets/acessibilidade_2/videos/coincidencia1.wmv']",Acessibilidades2
habitar,habitar,habitar,['./datasets/acessibilidade_2/videos/habitar.wmv'],Acessibilidades2
vagem,vagem,vagem,"['./datasets/acessibilidade_2/videos/vagem2.wmv', './datasets/acessibilidade_2/videos/vagem.wmv']",Acessibilidades2
ponteiro,ponteiro,ponteiro,"['./datasets/acessibilidade_2/videos/ponteiro2.wmv', './datasets/acessibilidade_2/videos/ponteiro1.wmv']",Acessibilidades2
bloco,bloco,bloco,"['./datasets/acessibilidade_2/videos/bloco2.wmv', './datasets/acessibilidade_2/videos/bloco1.wmv']",Acessibilidades2
esquilo,esquilo,esquilo,['./datasets/acessibilidade_2/videos/esquilo.wmv'],Acessibilidades2
largado,largado,largar,['./datasets/acessibilidade_2/videos/largado.wmv'],Acessibilidades2
comportar,comportar,comportar,['./datasets/acessibilidade_2/videos/comportar.wmv'],Acessibilidades2
queda dяagua,queda dяagua,queda,['./datasets/acessibilidade_2/videos/queda dяagua.wmv'],Acessibilidades2
breve,breve,breve,"['./datasets/acessibilidade_2/videos/breve2.wmv', './datasets/acessibilidade_2/videos/breve1.wmv']",Acessibilidades2
d,d,d,['./datasets/acessibilidade_2/videos/d.wmv'],Acessibilidades2
eu,eu,eu,['./datasets/acessibilidade_2/videos/eu.wmv'],Acessibilidades2
gritar,gritar,gritar,['./datasets/acessibilidade_2/videos/gritar.wmv'],Acessibilidades2
nome,nome,nome,['./datasets/acessibilidade_2/videos/nome.wmv'],Acessibilidades2
adiantado,adiantado,adiantar,['./datasets/acessibilidade_2/videos/adiantado.wmv'],Acessibilidades2
imergir,imergir,imergir,['./datasets/acessibilidade_2/videos/imergir.wmv'],Acessibilidades2
novembro,novembro,novembro,['./datasets/acessibilidade_2/videos/novembro.wmv'],Acessibilidades2
integracao,integração,integracao,['./datasets/acessibilidade_2/videos/integracao.wmv'],Acessibilidades2
prejuizo,prejuízo,prejuizo,['./datasets/acessibilidade_2/videos/prejuizo.wmv'],Acessibilidades2
aborrecido,aborrecido,aborrecir,['./datasets/acessibilidade_2/videos/aborrecido.wmv'],Acessibilidades2
pilha,pilha,pilho,"['./datasets/acessibilidade_2/videos/pilha3.wmv', './datasets/acessibilidade_2/videos/pilha2.wmv', './datasets/acessibilidade_2/videos/pilha1.wmv']",Acessibilidades2
arrumar,arrumar,arrumar,"['./datasets/acessibilidade_2/videos/arrumar3.wmv', './datasets/acessibilidade_2/videos/arrumar1.wmv', './datasets/acessibilidade_2/videos/arrumar2.wmv']",Acessibilidades2
agradar,agradar,agradar,['./datasets/acessibilidade_2/videos/agradar.wmv'],Acessibilidades2
abrir,abrir,abrir,"['./datasets/acessibilidade_2/videos/abrir3.wmv', './datasets/acessibilidade_2/videos/abrir4.wmv', './datasets/acessibilidade_2/videos/abrir2.wmv', './datasets/acessibilidade_2/videos/abrir1.wmv', './datasets/acessibilidade_2/videos/abrir5.wmv']",Acessibilidades2
amplo,amplo,amplo,['./datasets/acessibilidade_2/videos/amplo.wmv'],Acessibilidades2
preencher,preencher,preencher,['./datasets/acessibilidade_2/videos/preencher.wmv'],Acessibilidades2
tocantis,tocantis,tocantil,['./datasets/acessibilidade_2/videos/tocantis.wmv'],Acessibilidades2
ladeira,ladeira,Ladeira,['./datasets/acessibilidade_2/videos/ladeira.wmv'],Acessibilidades2
calar a boca,calar a boca,calar,['./datasets/acessibilidade_2/videos/calar-a-boca.wmv'],Acessibilidades2
governador,governador,governador,['./datasets/acessibilidade_2/videos/governador.wmv'],Acessibilidades2
perfeito,perfeito,perfeito,['./datasets/acessibilidade_2/videos/perfeito.wmv'],Acessibilidades2
exortar,exortar,exortar,['./datasets/acessibilidade_2/videos/exortar.wmv'],Acessibilidades2
acenar,acenar,acenar,['./datasets/acessibilidade_2/videos/acenar.wmv'],Acessibilidades2
trimensal,trimensal,trimensal,['./datasets/acessibilidade_2/videos/trimensal.wmv'],Acessibilidades2
silencioso,silencioso,silencioso,['./datasets/acessibilidade_2/videos/silencioso.wmv'],Acessibilidades2
adormecer,adormecer,adormecer,['./datasets/acessibilidade_2/videos/adormecer.wmv'],Acessibilidades2
cacador,caçador,cacador,['./datasets/acessibilidade_2/videos/cacador.wmv'],Acessibilidades2
ascender,ascender,ascender,['./datasets/acessibilidade_2/videos/ascender.wmv'],Acessibilidades2
dispersar,dispersar,dispersar,['./datasets/acessibilidade_2/videos/dispersar.wmv'],Acessibilidades2
coreano,coreano,coreano,['./datasets/acessibilidade_2/videos/coreano.wmv'],Acessibilidades2
angustiar,angustiar,angustiar,['./datasets/acessibilidade_2/videos/angustiar.wmv'],Acessibilidades2
zangar,zangar,zangar,['./datasets/acessibilidade_2/videos/zangar.wmv'],Acessibilidades2
estender,estender,estender,"['./datasets/acessibilidade_2/videos/estender1.wmv', './datasets/acessibilidade_2/videos/estender4.wmv', './datasets/acessibilidade_2/videos/estender2.wmv', './datasets/acessibilidade_2/videos/estender3.wmv']",Acessibilidades2
fone,fone,fone,['./datasets/acessibilidade_2/videos/fone.wmv'],Acessibilidades2
anteontem,anteontem,anteontem,['./datasets/acessibilidade_2/videos/anteontem.wmv'],Acessibilidades2
fechar tampa,fechar tampa,fechar,['./datasets/acessibilidade_2/videos/fechar-tampa.wmv'],Acessibilidades2
trazer,trazer,trazer,['./datasets/acessibilidade_2/videos/trazer.wmv'],Acessibilidades2
espinha,espinha,espinha,['./datasets/acessibilidade_2/videos/espinha.wmv'],Acessibilidades2
rua,rua,rua,"['./datasets/acessibilidade_2/videos/rua2.wmv', './datasets/acessibilidade_2/videos/rua1.wmv']",Acessibilidades2
cabeca,cabeça,cabecar,['./datasets/acessibilidade_2/videos/cabeca.wmv'],Acessibilidades2
anotar,anotar,anotar,"['./datasets/acessibilidade_2/videos/anotar3.wmv', './datasets/acessibilidade_2/videos/anotar2.wmv', './datasets/acessibilidade_2/videos/anotar1.wmv']",Acessibilidades2
prefeitura,prefeitura,prefeitura,['./datasets/acessibilidade_2/videos/prefeitura.wmv'],Acessibilidades2
vapor,vapor,vapor,['./datasets/acessibilidade_2/videos/vapor.wmv'],Acessibilidades2
lesao,lesão,lesao,['./datasets/acessibilidade_2/videos/lesao.wmv'],Acessibilidades2
discutir,discutir,discutir,['./datasets/acessibilidade_2/videos/discutir.wmv'],Acessibilidades2
inverno,inverno,inverno,['./datasets/acessibilidade_2/videos/inverno.wmv'],Acessibilidades2
pastoral,pastoral,pastoral,['./datasets/acessibilidade_2/videos/pastoral.wmv'],Acessibilidades2
regra,regra,regrar,['./datasets/acessibilidade_2/videos/regra.wmv'],Acessibilidades2
ditadura,ditadura,ditadura,['./datasets/acessibilidade_2/videos/ditadura.wmv'],Acessibilidades2
relacao,relação,relacao,"['./datasets/acessibilidade_2/videos/relacao2.wmv', './datasets/acessibilidade_2/videos/relacao1.wmv', './datasets/acessibilidade_2/videos/relacao3.wmv']",Acessibilidades2
ferimento,ferimento,ferimento,['./datasets/acessibilidade_2/videos/ferimento.wmv'],Acessibilidades2
pausa,pausa,pausar,['./datasets/acessibilidade_2/videos/pausa.wmv'],Acessibilidades2
cartola,cartola,cartola,['./datasets/acessibilidade_2/videos/cartola.wmv'],Acessibilidades2
tesoureiro,tesoureiro,tesoureiro,['./datasets/acessibilidade_2/videos/tesoureiro.wmv'],Acessibilidades2
regua,régua,regua,"['./datasets/acessibilidade_2/videos/regua2.wmv', './datasets/acessibilidade_2/videos/regua1.wmv']",Acessibilidades2
caixa d`agua,caixa d`agua,Caixa,['./datasets/acessibilidade_2/videos/caixa-d`agua.wmv'],Acessibilidades2
por isso,por isso,por,['./datasets/acessibilidade_2/videos/por_isso.wmv'],Acessibilidades2
visitante,visitante,visitante,['./datasets/acessibilidade_2/videos/visitante.wmv'],Acessibilidades2
salto,salto,salto,['./datasets/acessibilidade_2/videos/salto.wmv'],Acessibilidades2
mosquito,mosquito,mosquito,['./datasets/acessibilidade_2/videos/mosquito.wmv'],Acessibilidades2
joelho,joelho,joelho,['./datasets/acessibilidade_2/videos/joelho.wmv'],Acessibilidades2
vassoura,vassoura,vassourar,['./datasets/acessibilidade_2/videos/vassoura.wmv'],Acessibilidades2
vesgo,vesgo,vesgo,['./datasets/acessibilidade_2/videos/vesgo.wmv'],Acessibilidades2
medio,médio,medio,"['./datasets/acessibilidade_2/videos/medio2.wmv', './datasets/acessibilidade_2/videos/medio1.wmv']",Acessibilidades2
orgulhar,orgulhar,orgulhar,['./datasets/acessibilidade_2/videos/orgulhar.wmv'],Acessibilidades2
cacho de cabelo,cacho de cabelo,cacho,['./datasets/acessibilidade_2/videos/cacho-de-cabelo.wmv'],Acessibilidades2
pastor,pastor,pastor,['./datasets/acessibilidade_2/videos/pastor.wmv'],Acessibilidades2
benzer,benzer,benzer,['./datasets/acessibilidade_2/videos/benzer.wmv'],Acessibilidades2
propriedade,propriedade,propriedade,['./datasets/acessibilidade_2/videos/propriedade.wmv'],Acessibilidades2
bochechar,bochechar,bochechar,['./datasets/acessibilidade_2/videos/bochechar.wmv'],Acessibilidades2
oposto,oposto,oposto,['./datasets/acessibilidade_2/videos/oposto.wmv'],Acessibilidades2
bainha,bainha,bainhar,['./datasets/acessibilidade_2/videos/bainha.wmv'],Acessibilidades2
covarde,covarde,covarde,['./datasets/acessibilidade_2/videos/covarde.wmv'],Acessibilidades2
macaco mecanico,macaco mecânico,Macaco,['./datasets/acessibilidade_2/videos/macaco_mecanico.wmv'],Acessibilidades2
localizar,localizar,localizar,['./datasets/acessibilidade_2/videos/localizar.wmv'],Acessibilidades2
vestir,vestir,vestir,['./datasets/acessibilidade_2/videos/vestir.wmv'],Acessibilidades2
eletricidade,eletricidade,eletricidade,['./datasets/acessibilidade_2/videos/eletricidade.wmv'],Acessibilidades2
p,p,p,['./datasets/acessibilidade_2/videos/p.wmv'],Acessibilidades2
roupa,roupa,roupa,['./datasets/acessibilidade_2/videos/roupa.wmv'],Acessibilidades2
invisivel,invisível,invisivel,['./datasets/acessibilidade_2/videos/invisivel.wmv'],Acessibilidades2
cha,chá,cha,"['./datasets/acessibilidade_2/videos/cha.wmv', './datasets/acessibilidade_2/videos/cha1.wmv']",Acessibilidades2
remar,remar,remar,['./datasets/acessibilidade_2/videos/remar.wmv'],Acessibilidades2
