name,checked,lemma,path,dictionary,Link,Instituicao
india,índia,indiar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01035-india.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01035-india.mp4,UFV
contabilidade,contabilidade,contabilidade,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01119-contabilidade.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01119-contabilidade.mp4,UFV
faxineiro,faxineiro,faxineiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01416-Faxineiro.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01416-Faxineiro.mp4,UFV
jogar,jogar,jogar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01683-jogar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01683-jogar.mp4,UFV
automática,automática,automático,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/automática.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/autom%C3%A1tica.mp4,UFV
enfermeiro,enfermeiro,enfermeiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01413-Enfermeiro.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01413-Enfermeiro.mp4,UFV
horaextra,horaextra,horaextrar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1187-horaextra.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1187-horaextra.mp4,UFV
faringe,faringe,faringir,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01165-faringe.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01165-faringe.mp4,UFV
pulseira,pulseira,pulseiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/874-pulseira.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/874-pulseira.mp4,UFV
espaçoso,espaçoso,espaçoso,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/espaçoso.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/espa%C3%A7oso.mp4,UFV
amora,amora,amor,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/amora.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amora.mp4,UFV
excluir,excluir,excluir,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/excluir.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/excluir.mp4,UFV
saopaulo,saopaulo,saopaulo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1271-saopaulo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1271-saopaulo.mp4,UFV
fazer,fazer,fazer,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01671-fazer.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01671-fazer.mp4,UFV
antes,antes,antes,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01513-Antes.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01513-Antes.mp4,UFV
grecia,grécia,grecia,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01034-grecia.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01034-grecia.mp4,UFV
cogumelo,cogumelo,cogumelo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/cogumelo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cogumelo.mp4,UFV
violao,violão,Violao,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/00956-violao.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00956-violao.mp4,UFV
urina,urina,urina,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1305-urina.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1305-urina.mp4,UFV
comparar,comparar,comparar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01615-Comparar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01615-Comparar.mp4,UFV
ofender,ofender,ofender,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01717-ofender.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01717-ofender.mp4,UFV
grupo,grupo,grupo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1360-grupo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1360-grupo.mp4,UFV
cabelo,cabelo,cabelo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01155-cabelo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01155-cabelo.mp4,UFV
fermento,fermento,fermento,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01673-fermento.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01673-fermento.mp4,UFV
cola,cola,colo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1292-cola.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1292-cola.mp4,UFV
noivo,noivo,noivo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/920-noivo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/920-noivo.mp4,UFV
ingresso,ingresso,ingresso,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1189-ingresso.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1189-ingresso.mp4,UFV
motorista,motorista,motorista,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01425-Motorista.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01425-Motorista.mp4,UFV
cabide,cabide,cabidir,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01461-Cabide.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01461-Cabide.mp4,UFV
corrigir,corrigir,corrigir,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01626-Corrigir.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01626-Corrigir.mp4,UFV
endereco,endereço,endereco,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01022-endereco.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01022-endereco.mp4,UFV
violino,violino,violino,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/00957-violino.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00957-violino.mp4,UFV
cesto de lixo,cesto de lixo,cesto,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01463-Cesto-de-lixo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01463-Cesto-de-lixo.mp4,UFV
bebê,bebê,bebê,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01603-Bebê.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01603-Beb%C3%AA.mp4,UFV
eleicao,eleição,eleicao,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/457-eleicao.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/457-eleicao.mp4,UFV
acrescentar,acrescentar,acrescentar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01563-Acrescentar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01563-Acrescentar.mp4,UFV
convidar,convidar,convidar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01623-Convidar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01623-Convidar.mp4,UFV
propaganda,propaganda,propagandar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01147-propaganda.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01147-propaganda.mp4,UFV
chocolate,chocolate,chocolater,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/chocolate.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/chocolate.mp4,UFV
regua,régua,regua,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1219-regua.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1219-regua.mp4,UFV
abraçar,abraçar,abraçar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01552-Abraçar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01552-Abra%C3%A7ar.mp4,UFV
camera,câmera,camera,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/camera.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/camera.mp4,UFV
aguia,águia,aguia,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/645-aguia.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/645-aguia.mp4,UFV
continuar,continuar,continuar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01621-Continuar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01621-Continuar.mp4,UFV
psiquiatra,psiquiatra,psiquiatra,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01436-Psiquiatra.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01436-Psiquiatra.mp4,UFV
caveira,caveira,caveira,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/caveira.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caveira.mp4,UFV
carta,carta,carta,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01125-carta.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01125-carta.mp4,UFV
cerveja,cerveja,cervejo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/cerveja.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cerveja.mp4,UFV
quinta,quinta,quinto,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/761-quinta.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/761-quinta.mp4,UFV
cortina,cortina,cortina,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01472-Cortina.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01472-Cortina.mp4,UFV
lapizeira,lapizeira,Lapizeira,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1215-lapizeira.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1215-lapizeira.mp4,UFV
dinossauro,dinossauro,dinossauro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/dinossauro.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dinossauro.mp4,UFV
calendario,calendário,calendario,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01514-Calendario.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01514-Calendario.mp4,UFV
me avisar,me avisar,eu,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01696-me-avisar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01696-me-avisar.mp4,UFV
carneiro,carneiro,carneiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/carneiro.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/carneiro.mp4,UFV
sabonete,sabonete,sabonete,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/00947-sabonete.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00947-sabonete.mp4,UFV
moeda,moeda,moeda,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1194-moeda.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1194-moeda.mp4,UFV
lingua,língua,linguar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/837-lingua.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/837-lingua.mp4,UFV
dedo polegar,dedo polegar,dedo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/dedo-polegar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-polegar.mp4,UFV
disputar,disputar,disputar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01646-disputar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01646-disputar.mp4,UFV
nora,nora,nor,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/921-nora.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/921-nora.mp4,UFV
anotar,anotar,anotar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01588-Anotar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01588-Anotar.mp4,UFV
baruho,baruho,baruhor,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/baruho.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/baruho.mp4,UFV
informacao,informação,informacao,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01138-informacao.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01138-informacao.mp4,UFV
piada,piada,piar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01145-piada.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01145-piada.mp4,UFV
acompanhar,acompanhar,acompanhar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01558-Acompanhar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01558-Acompanhar.mp4,UFV
alface,alface,alface,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/alface.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alface.mp4,UFV
achar,achar,achar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01556-Achar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01556-Achar.mp4,UFV
advogado,advogado,advogado,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1399-advogado.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1399-advogado.mp4,UFV
onibus,ônibus,onibu,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01546-Onibus.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01546-Onibus.mp4,UFV
couve,couve,cour,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/couve.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/couve.mp4,UFV
arrumar,arrumar,arrumar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01594-Arrumar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01594-Arrumar.mp4,UFV
criança,criança,criança,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/894-criança.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/894-crian%C3%A7a.mp4,UFV
abençoar,abençoar,abençoar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01551-Abençoar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01551-Aben%C3%A7oar.mp4,UFV
professor,professor,professor,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01433-Professor.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01433-Professor.mp4,UFV
greve,greve,grever,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/462-greve.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/462-greve.mp4,UFV
figo,figo,figo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/figo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/figo.mp4,UFV
celular,celular,celular,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01127-celular.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01127-celular.mp4,UFV
zumbi,zumbi,zumbi,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/zumbi.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/zumbi.mp4,UFV
adjetivo,adjetivo,adjetivo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/adjetivo-1.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/adjetivo-1.mp4,UFV
acusar,acusar,acusar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01565-Acusar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01565-Acusar.mp4,UFV
olimpiadas,olimpíadas,olimpiar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/473-olimpiadas.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/473-olimpiadas.mp4,UFV
algum,algum,algum,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1359-algum.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1359-algum.mp4,UFV
marido,marido,marer,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/912-marido.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/912-marido.mp4,UFV
suíça,suíça,suíço,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1274-suíça.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1274-su%C3%AD%C3%A7a.mp4,UFV
aprender,aprender,aprender,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01591-Aprender.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01591-Aprender.mp4,UFV
arrastar,arrastar,arrastar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01593-Arrastar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01593-Arrastar.mp4,UFV
algodão,algodão,algodãor,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/algodão.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/algod%C3%A3o.mp4,UFV
algoritmo,algoritmo,algoritmo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/algoritmo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/algoritmo.mp4,UFV
copiar,copiar,copiar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01624-Copiar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01624-Copiar.mp4,UFV
mulher,mulher,mulher,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/915-mulher.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/915-mulher.mp4,UFV
anão,anão,anão,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/anão.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/an%C3%A3o.mp4,UFV
tudo bem,tudo bem,tudo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01453-Tudo-bem.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01453-Tudo-bem.mp4,UFV
abacaxi,abacaxi,abacaxi,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/abacaxi.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abacaxi.mp4,UFV
boina,boina,boino,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/847-boina.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/847-boina.mp4,UFV
despertador,despertador,despertador,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/despertador.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/despertador.mp4,UFV
trem,trem,tr,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01550-Trem.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01550-Trem.mp4,UFV
centopeia,centopéia,centopeiar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/centopeia.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/centopeia.mp4,UFV
analogia,analogia,analoger,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/analogia.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/analogia.mp4,UFV
